init_coverage,adam_coverage,bf_coverage,combined_coverage,systems_area,protection_area,Number_of_systems,Number_of_areas,average_system_size,average_area_size,precision,recall,Fscore,env_area
6.943828533,10.83851609,10.42202484,10.52844006,130.0130982,25.20011034,2,90,65.00654908,0.280001226,0.080979841,0.417793411,0.067832114,20
5.502234672,8.993781118,9.227468382,9.926380119,130.0130982,26.52823785,2,90,65.00654908,0.294758198,0.076349078,0.374181662,0.0634106,20
0.299468546,1.032941067,1.347360271,1.347360271,123.3034763,3.038721633,3,10,41.10115876,0.303872163,0.010927188,0.443397071,0.010664373,20
0,0,0.279892589,0.279892589,123.3034763,2.762692409,3,10,41.10115876,0.276269241,0.002269949,0.101311528,0.002220204,20
0.26877691,0.26877691,1.75475556,1.991595391,123.3034763,2.786861714,3,10,41.10115876,0.278686171,0.016151981,0.714637322,0.015794988,20
1.116023374,1.116023374,2.352151079,2.484641154,123.3034763,5.705735558,3,20,41.10115876,0.285286778,0.020150617,0.435463777,0.019259409,20
1.559313543,2.236323971,2.941397374,3.326951047,123.3034763,5.781688051,3,20,41.10115876,0.289084403,0.026981811,0.575429013,0.025773303,20
0.45774005,0.589568758,2.044884268,2.094972159,123.3034763,5.907640155,3,20,41.10115876,0.295382008,0.016990374,0.354620814,0.01621356,20
1.384310102,2.918999349,4.802742224,5.00223823,124.5250501,8.269473219,3,30,41.50835003,0.275649107,0.040170538,0.604904097,0.03766901,20
1.841867657,3.130248406,5.130315958,6.081951757,124.5250501,8.384446127,3,30,41.50835003,0.279481538,0.048841191,0.725385036,0.045760099,20
2.004050552,2.27472202,3.017177622,3.055183903,124.5250501,8.575034909,3,30,41.50835003,0.285834497,0.024534693,0.356288218,0.022954034,20
2.686310864,5.230648791,5.643344277,5.901210091,136.5557943,11.60411807,3,40,45.5185981,0.290102952,0.043214644,0.508544472,0.039830005,20
3.099757096,3.493073562,4.758113717,5.477066484,136.5557943,11.43391632,3,40,45.5185981,0.285847908,0.040108635,0.479019291,0.037009779,20
2.584768107,4.489721152,4.769738083,5.025851625,136.5557943,11.38486464,3,40,45.5185981,0.284621616,0.036804382,0.441450275,0.033972078,20
4.712803035,8.190043572,8.238931698,9.271193211,186.8254688,14.73478036,3,50,62.27515625,0.294695607,0.049624889,0.629204711,0.045997131,20
4.438797033,4.820164447,8.53924149,9.854041448,186.8254688,14.14957267,3,50,62.27515625,0.282991453,0.052744637,0.696419721,0.04903117,20
2.78059829,4.886869309,7.363878831,8.55416201,186.8254688,14.68409699,3,50,62.27515625,0.29368194,0.045786916,0.582546003,0.042450402,20
